pairID,b1 biomass,b2 biomass,crossfed mets,runtime (min),converged
12__13,0.08885916043405884,0.0733889850397105,"{'b1_EX_ac(e)': [np.float64(4.817604190950573), 710, 1199, ['1', '0']], 'b1_EX_btn(e)': [np.float64(-0.3863936838008829), 8404, 10000, ['1', '0']], 'b1_EX_cys_L(e)': [np.float64(-0.37307792911959775), 7560, 7560, ['0', '1']], 'b1_EX_for(e)': [np.float64(7.266247999721534), 349, 349, ['0', '1']], 'b1_EX_metsox_S_L(e)': [np.float64(-0.5837530311906074), 1743, 1743, ['0', '1']], 'b1_EX_mqn7(e)': [np.float64(-0.005380459380285418), 5047, 9993, ['1', '0']], 'b1_EX_nac(e)': [np.float64(-0.0649931194229178), 5483, 9487, ['1', '0']], 'b1_EX_orn(e)': [np.float64(-0.7031745309970245), 5308, 5308, ['0', '1']], 'b1_EX_phe_L(e)': [np.float64(0.8505184443482783), 2535, 4997, ['1', '0']], 'b1_EX_pnto_R(e)': [np.float64(-0.19969772815730397), 7379, 9979, ['1', '0']], 'b1_EX_pro_L(e)': [np.float64(0.2145507056340803), 1610, 2707, ['1', '0']], 'b1_EX_ribflv(e)': [np.float64(-0.09353166222137971), 6373, 9969, ['0', '1']], 'b1_EX_sheme(e)': [np.float64(-0.3379478570706256), 7741, 9990, ['0', '1']], 'b1_EX_thm(e)': [np.float64(-0.019092177883539174), 5247, 9992, ['0', '1']], 'b1_EX_xan(e)': [np.float64(-0.17209753023350738), 5312, 8416, ['0', '1']]}",5.132226081689199,True
12__19,0.09214124174524936,0.0534304263560138,"{'b1_EX_ac(e)': [np.float64(4.726101419679354), 417, 417, ['0', '1']], 'b1_EX_btn(e)': [np.float64(-0.10437429974587575), 6483, 10000, ['1', '0']], 'b1_EX_cys_L(e)': [np.float64(0.5947154954546526), 3016, 5105, ['1', '0']], 'b1_EX_fol(e)': [np.float64(-0.3622538069067782), 9404, 9902, ['0', '1']], 'b1_EX_gua(e)': [np.float64(-0.31176624139330555), 9020, 9020, ['0', '1']], 'b1_EX_metsox_S_L(e)': [np.float64(-0.5337253162666051), 2086, 2094, ['0', '1']], 'b1_EX_nac(e)': [np.float64(-0.046877564081990175), 5709, 8413, ['0', '1']], 'b1_EX_phe_L(e)': [np.float64(0.28600384620972297), 3435, 4288, ['0', '1']], 'b1_EX_ptrc(e)': [np.float64(0.2559386977998077), 3675, 4374, ['1', '0']], 'b1_EX_pydx(e)': [np.float64(-0.051005108740783844), 5906, 9980, ['1', '0']], 'b1_EX_q8(e)': [np.float64(-0.2145738864452601), 7667, 9991, ['0', '1']], 'b1_EX_thm(e)': [np.float64(-0.1884523993591481), 6457, 9997, ['0', '1']], 'b1_EX_ura(e)': [np.float64(0.49132474593002956), 2306, 3730, ['1', '0']]}",5.095357735951741,True
12__21,0.07868834909324426,0.10465896929836468,"{'b1_EX_btn(e)': [np.float64(-0.29983195404264074), 9002, 9595, ['1', '0']], 'b1_EX_cgly(e)': [np.float64(-0.46650987312910075), 414, 426, ['0', '1']], 'b1_EX_dcyt(e)': [np.float64(0.059288286711645155), 3264, 6299, ['0', '1']], 'b1_EX_for(e)': [np.float64(8.819270581235887), 137, 267, ['1', '0']], 'b1_EX_lys_L(e)': [np.float64(0.026768060337031267), 4163, 4277, ['0', '1']], 'b1_EX_nac(e)': [np.float64(-0.09394131232407082), 5578, 9442, ['1', '0']], 'b1_EX_ptrc(e)': [np.float64(0.2445349616403989), 2736, 5275, ['0', '1']], 'b1_EX_pydam(e)': [np.float64(-0.19850599452085288), 7304, 10000, ['0', '1']], 'b1_EX_pydx(e)': [np.float64(-0.15943771499466713), 7433, 9994, ['0', '1']], 'b1_EX_pydxn(e)': [np.float64(-0.15958545642337324), 7439, 9999, ['0', '1']], 'b1_EX_q8(e)': [np.float64(-0.023577942277654362), 5495, 9982, ['1', '0']], 'b1_EX_sheme(e)': [np.float64(-0.2551374765008285), 7929, 9992, ['0', '1']], 'b1_EX_spmd(e)': [np.float64(-0.3092757737345867), 8532, 9994, ['0', '1']], 'b1_EX_thymd(e)': [np.float64(0.3660961562379012), 3731, 5986, ['1', '0']], 'b1_EX_xan(e)': [np.float64(-0.45599419719751233), 8669, 9324, ['0', '1']]}",5.836448395252228,True
12__23,0.0913065727700936,0.07824052804099695,"{'b1_EX_ac(e)': [np.float64(5.817828770871595), 273, 273, ['1', '0']], 'b1_EX_ade(e)': [np.float64(0.9177748889684268), 1493, 2327, ['1', '0']], 'b1_EX_btn(e)': [np.float64(-0.054711200299045304), 4690, 8651, ['1', '0']], 'b1_EX_csn(e)': [np.float64(-0.2731142678273303), 7382, 7610, ['0', '1']], 'b1_EX_cys_L(e)': [np.float64(-0.5595438676996083), 9899, 9899, ['0', '1']], 'b1_EX_gua(e)': [np.float64(0.3177461639664579), 2994, 4188, ['0', '1']], 'b1_EX_metsox_S_L(e)': [np.float64(-0.5562581268907199), 69, 72, ['1', '0']], 'b1_EX_mqn8(e)': [np.float64(-0.1149975594719786), 5938, 9947, ['1', '0']], 'b1_EX_nac(e)': [np.float64(-0.06875727704504125), 5827, 8605, ['0', '1']], 'b1_EX_phe_L(e)': [np.float64(-0.12230273391090629), 5993, 9601, ['0', '1']], 'b1_EX_pnto_R(e)': [np.float64(-0.11238452052321157), 7166, 9961, ['0', '1']], 'b1_EX_ptrc(e)': [np.float64(-0.22933493736988847), 7715, 7863, ['1', '0']], 'b1_EX_pydxn(e)': [np.float64(-0.10348783542227052), 6588, 9997, ['0', '1']], 'b1_EX_sheme(e)': [np.float64(-0.08335442291101897), 6378, 9985, ['0', '1']], 'b1_EX_spmd(e)': [np.float64(-0.22931740722524646), 6563, 9990, ['0', '1']], 'b1_EX_thm(e)': [np.float64(-0.3143272109237238), 8216, 9994, ['0', '1']], 'b1_EX_thymd(e)': [np.float64(0.2908013820412935), 2752, 3226, ['0', '1']], 'b1_EX_ura(e)': [np.float64(-0.3699183017451332), 8318, 8551, ['0', '1']], 'b1_EX_xan(e)': [np.float64(-0.13479828969392232), 4681, 8608, ['0', '1']]}",5.703973352909088,True
12__24,0.08121595869193224,0.025661299361862733,"{'b1_EX_btn(e)': [np.float64(-0.3353798296236409), 8569, 10000, ['1', '0']], 'b1_EX_cys_L(e)': [np.float64(0.18535999192378125), 2578, 4037, ['0', '1']], 'b1_EX_fol(e)': [np.float64(-0.1743180268100084), 8149, 9703, ['1', '0']], 'b1_EX_for(e)': [np.float64(5.893518551756014), 408, 408, ['0', '1']], 'b1_EX_leu_L(e)': [np.float64(0.05542050235022749), 3468, 6127, ['0', '1']], 'b1_EX_lys_L(e)': [np.float64(0.03564009700596789), 3890, 4941, ['0', '1']], 'b1_EX_nac(e)': [np.float64(-0.10573323452417693), 7139, 9138, ['0', '1']], 'b1_EX_phe_L(e)': [np.float64(-0.29977876927395974), 5851, 7278, ['0', '1']], 'b1_EX_pnto_R(e)': [np.float64(-0.3096179952190882), 9123, 9985, ['1', '0']], 'b1_EX_pydam(e)': [np.float64(-0.363265683734267), 7152, 10000, ['0', '1']], 'b1_EX_pydx(e)': [np.float64(-0.15109406255924612), 5809, 9998, ['0', '1']], 'b1_EX_pydxn(e)': [np.float64(-0.1299642581770316), 5662, 10000, ['0', '1']], 'b1_EX_ribflv(e)': [np.float64(-0.04161667064204205), 5748, 9969, ['1', '0']], 'b1_EX_thm(e)': [np.float64(-0.30817895227428255), 9179, 9991, ['1', '0']], 'b1_EX_xan(e)': [np.float64(-0.29636127651787125), 7190, 9187, ['0', '1']]}",4.545454553763071,True
12__34,0.08155782664539199,0.062172848155434446,"{'b1_EX_4hbz(e)': [np.float64(-0.017991702481434446), 5252, 10000, ['0', '1']], 'b1_EX_ac(e)': [np.float64(2.76912399025417), 1540, 1540, ['0', '1']], 'b1_EX_btn(e)': [np.float64(-0.135022987259932), 6711, 8956, ['1', '0']], 'b1_EX_cys_L(e)': [np.float64(0.2658888985278117), 2697, 4432, ['0', '1']], 'b1_EX_dcyt(e)': [np.float64(0.09802521996899705), 4041, 7114, ['0', '1']], 'b1_EX_lys_L(e)': [np.float64(0.012268949270297501), 4485, 5307, ['0', '1']], 'b1_EX_nac(e)': [np.float64(-0.16792300015464556), 6769, 9342, ['0', '1']], 'b1_EX_ptrc(e)': [np.float64(-0.000858831213899236), 5014, 8166, ['1', '0']], 'b1_EX_pydam(e)': [np.float64(-0.14925918214547457), 7404, 10000, ['1', '0']], 'b1_EX_pydx(e)': [np.float64(-0.15354106363447645), 7667, 9992, ['1', '0']], 'b1_EX_pydxn(e)': [np.float64(-0.08286762465089598), 6008, 10000, ['0', '1']], 'b1_EX_spmd(e)': [np.float64(-0.1815233450768336), 6649, 9998, ['1', '0']], 'b1_EX_ura(e)': [np.float64(-0.20342477090032543), 1461, 2706, ['1', '0']], 'b1_EX_xan(e)': [np.float64(-0.2719615972661872), 5441, 6091, ['0', '1']]}",5.508598661422729,True
12__44,0.07989618354372072,0.030947610482549286,"{'b1_EX_ac(e)': [9.172185158516985, 242, 272, ['0', '1']], 'b1_EX_ade(e)': [1.5155690441862795, 647, 928, ['1', '0']], 'b1_EX_btn(e)': [-0.23224700108601182, 7725, 9656, ['1', '0']], 'b1_EX_fol(e)': [-0.06291517166666238, 5744, 9957, ['1', '0']], 'b1_EX_gua(e)': [-0.06315169994248471, 5523, 5858, ['0', '1']], 'b1_EX_met_L(e)': [0.7048572427716628, 499, 698, ['1', '0']], 'b1_EX_mqn8(e)': [-0.06940957782419832, 6178, 9982, ['1', '0']], 'b1_EX_nac(e)': [-0.024803823108039136, 5369, 8597, ['1', '0']], 'b1_EX_phe_L(e)': [-0.09184471923257487, 5784, 9500, ['1', '0']], 'b1_EX_pnto_R(e)': [-0.05746659592711001, 5782, 9972, ['1', '0']], 'b1_EX_ptrc(e)': [0.05485024134408362, 4372, 8311, ['1', '0']], 'b1_EX_ribflv(e)': [-0.053102126540244876, 5604, 9976, ['1', '0']], 'b1_EX_spmd(e)': [-0.04694877072840559, 5559, 9989, ['1', '0']], 'b1_EX_thm(e)': [-0.03573852075182454, 5399, 9986, ['1', '0']], 'b1_EX_thymd(e)': [0.14720580512969456, 3850, 6846, ['1', '0']]}",1.315239707628886,True
12__55,0.06529797842282437,0.02718077903682594,"{'b1_EX_4hbz(e)': [-0.21174689350797998, 7147, 9999, ['1', '0']], 'b1_EX_ac(e)': [4.108413783648766, 275, 279, ['0', '1']], 'b1_EX_cys_L(e)': [-0.11348982615111036, 6130, 6171, ['0', '1']], 'b1_EX_met_L(e)': [0.06363888370200713, 2780, 5418, ['0', '1']], 'b1_EX_nac(e)': [-0.04415332986819004, 5511, 9100, ['1', '0']], 'b1_EX_pydam(e)': [-0.05996313939620829, 5690, 10000, ['1', '0']], 'b1_EX_pydx(e)': [-0.0438296052468129, 5532, 9988, ['1', '0']], 'b1_EX_pydxn(e)': [-0.050960066217379585, 5657, 10000, ['1', '0']], 'b1_EX_sheme(e)': [-0.08959530341596428, 6095, 9993, ['1', '0']], 'b1_EX_spmd(e)': [-0.04935464881721929, 5609, 9993, ['1', '0']], 'b1_EX_thymd(e)': [0.21214629368662574, 3675, 6577, ['1', '0']]}",1.2150106549263,True
12__67,0.0620640301004243,0.03592043795660467,"{'b1_EX_2dmmq8(e)': [-0.201319558282527, 7325, 9996, ['1', '0']], 'b1_EX_ade(e)': [1.8841289674993167, 370, 683, ['1', '0']], 'b1_EX_cys_L(e)': [-0.7692636989775035, 9941, 9950, ['0', '1']], 'b1_EX_for(e)': [1.7707415968588625, 1367, 1367, ['0', '1']], 'b1_EX_gua(e)': [0.2655682477007554, 3273, 3385, ['0', '1']], 'b1_EX_lys_L(e)': [0.003940037212213296, 4686, 6542, ['0', '1']], 'b1_EX_mqn8(e)': [-0.08300020470451563, 6122, 9989, ['1', '0']], 'b1_EX_nac(e)': [-0.018630695541659414, 5228, 8503, ['1', '0']], 'b1_EX_phe_L(e)': [-0.04090123883371227, 5471, 9274, ['1', '0']], 'b1_EX_ptrc(e)': [0.057514843931163906, 4170, 6595, ['1', '0']], 'b1_EX_pydam(e)': [-0.09765137161805376, 6352, 10000, ['1', '0']], 'b1_EX_pydx(e)': [-0.1226424629798431, 6655, 9986, ['1', '0']], 'b1_EX_pydxn(e)': [-0.1271316904555428, 6910, 10000, ['1', '0']], 'b1_EX_q8(e)': [-0.025276883788958815, 5198, 9799, ['1', '0']], 'b1_EX_sheme(e)': [-0.04103191117817934, 5312, 9707, ['1', '0']], 'b1_EX_thm(e)': [-0.13404756095290798, 6909, 9990, ['1', '0']], 'b1_EX_thymd(e)': [0.0726252730265689, 4336, 6169, ['1', '0']], 'b1_EX_ura(e)': [-0.19656005517563818, 5264, 7117, ['1', '0']]}",1.320384140809377,True
12__72,0.08246511957409723,0.03870652307867125,"{'b1_EX_26dap_M(e)': [-0.8553219345053731, 9887, 9887, ['0', '1']], 'b1_EX_ac(e)': [1.773588925375392, 1950, 1981, ['0', '1']], 'b1_EX_btn(e)': [-0.16535969612740675, 6979, 10000, ['1', '0']], 'b1_EX_cys_L(e)': [-0.6625777614229718, 9919, 9919, ['0', '1']], 'b1_EX_fol(e)': [-0.16388131393896843, 6928, 9970, ['1', '0']], 'b1_EX_for(e)': [3.879822862119525, 322, 332, ['0', '1']], 'b1_EX_metsox_S_L(e)': [-0.8812404922855432, 9956, 9956, ['0', '1']], 'b1_EX_mqn7(e)': [-0.10693418894700213, 6713, 9990, ['1', '0']], 'b1_EX_nac(e)': [-0.11154150844093214, 6316, 8989, ['1', '0']], 'b1_EX_phe_L(e)': [-0.17732399132584503, 6838, 9653, ['1', '0']], 'b1_EX_pnto_R(e)': [-0.16685106545570227, 7119, 9977, ['1', '0']], 'b1_EX_ptrc(e)': [0.11705056430565819, 3797, 5127, ['1', '0']], 'b1_EX_ribflv(e)': [-0.09813984377535107, 6197, 9965, ['1', '0']], 'b1_EX_sheme(e)': [-0.11229004284546701, 6482, 9612, ['1', '0']], 'b1_EX_spmd(e)': [-0.1005482074821934, 6381, 9990, ['1', '0']], 'b1_EX_thm(e)': [-0.09391137991906923, 6235, 9987, ['1', '0']], 'b1_EX_ura(e)': [-0.6307328036376444, 9881, 9921, ['0', '1']]}",1.3438402930895488,True
