samples,adolescentis,aerofaciens,bicirculans,bifidum,bolteae,caccae,catus,cellulosilyticus,champanellensis,cylindroides,distasonis,dorei,eligens,elsdenii,equolifaciens,fermentans,finegoldii,fragilis,hadrus,hallii,hominis,hypermegale,intestinalis,intestini,lactis,lenta,longum,muciniphila,obeum,ovatus,parainfluenzae,parvula,piger,plautii,pneumoniae,prausnitzii,pseudocatenulatum,ruminicola,ruminis,shahii,smithii,splanchnicus,sporogenes,thermophilus,thetaiotaomicron,torques,vulgatus,xylanisolvens
ERR260132,0.0570191906658332,0.0167794815576776,0,0,0,0.0202727908441737,0.0087276394056104,0.0068312120736202,0,0,0,0.0062609837638778,0,0,0,0,0,0,0.0101163303888439,0.0073121661533831,0,0,0.0116078167475682,0,0,0,0.021955306720252,0,0.0122687927454547,0,0,0,0,0,0,0.059363549279895,0,0,0,0,0,0,0,0,0,0.0098041306059449,0.0138121968359826,0
ERR260134,0.0071004882568848,0.0642301245424863,0,0,0,0,0.0082545632712992,0,0,0.0057622212394033,0,0,0,0,0.0113069043770428,0,0,0.109446165146727,0.010960020335351,0.0070042191853298,0,0,0,0,0,0,0.0077079487907,0,0.0119683648215505,0,0,0,0,0.007132180512163,0,0,0,0,0,0,0,0,0.0090060620284358,0.0810587505566818,0,0.0394763193276257,0,0
ERR260138,0,0.0342903317078891,0,0,0,0,0.0065494273558958,0.0060354368944412,0,0,0,0,0,0,0,0,0,0,0.119986541015491,0.0657088016150781,0,0,0.0057902182751597,0,0,0.0063063499386953,0.018275771533738,0.0202627051029434,0.0370290311315488,0,0,0,0,0,0,0.0162235822820626,0.0168888843572443,0,0,0,0.0314241797794052,0,0,0,0,0.0088537686431151,0,0
ERR260139,0.0396202557531319,0.023729761285832,0,0.0260395372626393,0,0,0.0126843630077003,0.0082869221212621,0,0,0,0,0,0,0,0,0,0,0.0827626437247429,0.0165944432527867,0.0070982995218492,0,0.0083708108442146,0,0,0,0.0137880520068287,0.00782851950883,0.034081958088179,0,0,0,0,0,0,0.009513906645584,0,0,0,0,0,0,0,0,0,0.0081957192569847,0,0
ERR260140,0,0.0127678436701772,0,0,0,0.0160674048819739,0,0,0,0,0,0.0704838082388857,0,0,0,0,0.0094112216962769,0.0213592018449284,0.0376041290978911,0.0225942503402361,0,0,0.0065551041213992,0,0,0,0.0077397942298345,0,0.0161552603410857,0.0245323236537147,0,0,0,0.0098271312511649,0,0.0279715478737077,0,0,0,0,0,0.0068036354407835,0.0055318144543424,0,0.035009585302307,0.0062935303421055,0.0095211768791241,0.0121296688610002
ERR260142,0.125874502418282,0.0255923672222674,0,0,0,0.0097164279783413,0,0.0185948013904873,0,0,0,0,0.0105875210989832,0,0,0,0,0,0.0378090405294492,0.0337430488990288,0.0064006224182478,0,0.0069603095895318,0,0,0,0.0070417109641043,0,0.018895663120341,0,0,0,0,0,0,0.0282036783298856,0,0,0,0.0168482568718084,0,0,0,0.0477819039261331,0,0,0.0112260790321587,0
ERR260143,0.0085040887243359,0.0096921427262229,0,0,0,0.0311108064262886,0.0158808725126867,0.0141998014663289,0,0,0,0.0146609480158405,0,0,0,0,0,0,0.0309315511525997,0.0306313180817188,0.0056601999047527,0,0,0,0,0,0.0151080455308395,0.0862615922421231,0.0135512043729961,0.0084455510805333,0,0,0,0,0,0,0,0,0,0,0.0599843041064417,0,0.0077355545030342,0,0,0.0181066038137145,0.0057856005461432,0
ERR260150,0,0,0.0134400207536624,0,0,0,0.0169463999931021,0,0,0,0,0.0435978363107366,0,0,0,0,0,0.0058308194135216,0.27128560615802,0.0171606095788499,0,0,0.0059202670984348,0,0,0.019127184036175,0,0,0.0143788840482838,0,0,0,0,0,0,0.0192071096288971,0,0,0,0.0166407933177406,0,0,0,0,0.0519340156499709,0.0746671485195209,0.0051611239217823,0
ERR260151,0,0,0,0,0,0.0094613407311518,0.0163864148131439,0.0063350554134984,0.0172345491140742,0,0,0.0104750057094056,0.0286508352004633,0,0,0,0,0,0.022429687337801,0.0082667142497223,0.0086937272851229,0,0.0275692745884599,0,0,0,0,0,0.0216446791426296,0.0124546403860063,0,0,0,0,0,0.0342962729786039,0,0,0,0,0.0201476084744973,0.0097853880740477,0,0,0.0065777402200828,0.0115422577374369,0.0377185495921492,0
ERR260152,0.0095643835456709,0.035259602342478,0,0,0,0,0.0206250714502441,0,0,0,0,0,0,0,0,0,0,0,0.0297463684264825,0.0271692167380261,0.0130117390057878,0,0.014968113229404,0,0,0,0,0.0085560320735868,0.0343987774055254,0,0,0,0,0,0,0.102639939184594,0,0,0,0,0.0217507850971837,0,0,0.0114475014657598,0,0.0384727404169222,0.009211029611009,0
