model,gene_id,kegg_orthology,ecnumber,subsystem,description,isHuman,seedID,genome_accession,ncbiid,ko_description
Streptococcus_pneumoniae_G54,g.1878.peg.1024,,,Folate metabolism,Aminomethyltransferase,False,rxn01652,GCF_000019825.1,512566,
Streptococcus_pneumoniae_G54,g.1878.peg.1024,K00605,2.1.2.10,"Glycine, serine, alanine and threonine metabolism",Glycine cleavage complex,False,rxn06600,GCF_000019825.1,512566,glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]
Streptococcus_pneumoniae_G54,g.1878.peg.1024,K00281,2.1.2.10,Folate metabolism,Glycine Cleavage System,False,rxn00908,GCF_000019825.1,512566,glycine cleavage system P protein (glycine dehydrogenase) [EC:1.4.4.2]
Streptococcus_pneumoniae_G54,g.1878.peg.1024,K00282,2.1.2.10,Folate metabolism,Glycine Cleavage System,False,rxn00908,GCF_000019825.1,512566,glycine cleavage system P protein (glycine dehydrogenase) subunit 1 [EC:1.4.4.2]
Streptococcus_pneumoniae_G54,g.1878.peg.1024,K00283,2.1.2.10,Folate metabolism,Glycine Cleavage System,False,rxn00908,GCF_000019825.1,512566,glycine cleavage system P protein (glycine dehydrogenase) subunit 2 [EC:1.4.4.2]
Streptococcus_pneumoniae_G54,g.1878.peg.1024,K00382,2.1.2.10,Folate metabolism,Glycine Cleavage System,False,rxn00908,GCF_000019825.1,512566,dihydrolipoyl dehydrogenase [EC:1.8.1.4]
Streptococcus_pneumoniae_G54,g.1878.peg.1024,K00605,2.1.2.10,Folate metabolism,Glycine Cleavage System,False,rxn00908,GCF_000019825.1,512566,glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]
Streptococcus_pneumoniae_G54,g.1878.peg.1024,K02437,2.1.2.10,Folate metabolism,Glycine Cleavage System,False,rxn00908,GCF_000019825.1,512566,glycine cleavage system H protein
Streptococcus_pneumoniae_G54,g.1878.peg.1219,,,Cell wall biosynthesis,Peptidoglycan subunit synthesis,False,rxn10199,GCF_000019825.1,512566,
Streptococcus_pneumoniae_G54,512566.5.peg.1185,K01598,4.1.1.36,CoA synthesis,Phosphopantothenoylcysteine Decarboxylase,True,rxn02341,GCF_000019825.1,512566,phosphopantothenoylcysteine decarboxylase [EC:4.1.1.36]
Streptococcus_pneumoniae_G54,512566.5.peg.1185,K13038,4.1.1.36,CoA synthesis,Phosphopantothenoylcysteine Decarboxylase,True,rxn02341,GCF_000019825.1,512566,phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]
Streptococcus_pneumoniae_G54,512566.5.peg.1792,K02619,4.1.3.38,Folate metabolism, 4-aminobenzoate synthase,False,rxn03841,GCF_000019825.1,512566,4-amino-4-deoxychorismate lyase [EC:4.1.3.38]
